date,party,approve,disapprove
3/5/2020,I,39.00039,40.66616
3/5/2020,R,80.57852,11.09188
3/4/2020,I,39.44207,39.42209
3/4/2020,D,18.44423,69.97042
3/4/2020,R,81.18703,10.96929
3/4/2020,all,43.40927,42.81175
3/3/2020,I,39.44207,39.42209
3/3/2020,R,81.18703,10.96929
3/3/2020,all,43.40927,42.81175
3/3/2020,D,18.44423,69.97042
3/2/2020,I,41.74471,36.27087
3/2/2020,all,46.41595,39.05365
3/2/2020,R,82.4118,10.4637
3/2/2020,D,20.95956,64.32472
3/1/2020,all,46.41595,39.05365
3/1/2020,I,41.74471,36.27087
3/1/2020,D,20.95956,64.32472
3/1/2020,R,82.4118,10.4637
2/29/2020,I,42.66567,35.38785
2/29/2020,R,82.36564,10.65129
2/29/2020,D,21.65126,62.79855
2/29/2020,all,47.15636,38.02801
2/28/2020,R,82.36564,10.65129
2/28/2020,I,42.66567,35.38785
2/28/2020,D,21.65126,62.79855
2/28/2020,all,47.15636,38.02801
2/27/2020,I,40.96081,24.71771
2/27/2020,R,80.51995,6.930058
2/27/2020,D,21.46453,51.86199
2/27/2020,all,45.95594,28.85493
2/26/2020,D,21.46453,51.86199
2/26/2020,all,45.95594,28.85493
2/26/2020,I,40.96081,24.71771
2/26/2020,R,80.51995,6.930058
2/25/2020,all,44.34497,28.33005
2/25/2020,D,20.31643,50.71891
2/25/2020,R,79.80868,6.367058
2/25/2020,I,38.52853,24.6117
2/24/2020,R,80.49252,6.084507
2/24/2020,all,45.74806,27.53751
2/24/2020,D,23.08517,48.37065
2/24/2020,I,40.32019,24.01075
2/23/2020,all,45.74806,27.53751
2/23/2020,D,23.08517,48.37065
2/23/2020,R,80.49252,6.084507
2/23/2020,I,40.32019,24.01075
2/22/2020,all,45.74806,27.53751
2/22/2020,I,40.32019,24.01075
2/22/2020,R,80.49252,6.084507
2/22/2020,D,23.08517,48.37065
2/21/2020,I,40.32019,24.01075
2/21/2020,R,80.49252,6.084507
2/21/2020,all,45.74806,27.53751
2/21/2020,D,23.08517,48.37065
2/20/2020,R,80.49252,6.084507
2/20/2020,I,40.32019,24.01075
2/20/2020,all,45.74806,27.53751
2/20/2020,D,23.08517,48.37065
2/19/2020,I,40.32019,24.01075
2/19/2020,all,45.74806,27.53751
2/19/2020,R,80.49252,6.084507
2/19/2020,D,23.08517,48.37065
2/18/2020,D,23.08517,48.37065
2/18/2020,I,40.32019,24.01075
2/18/2020,all,45.74806,27.53751
2/18/2020,R,80.49252,6.084507
2/17/2020,I,41.35748,23.84617
2/17/2020,D,27.09484,44.86655
2/17/2020,R,80.40076,5.410971
2/17/2020,all,46.82001,26.48684
2/16/2020,R,80.40076,5.410971
2/16/2020,D,27.09484,44.86655
2/16/2020,I,41.35748,23.84617
2/16/2020,all,46.82001,26.48684
2/15/2020,R,80.40076,5.410971
2/15/2020,all,46.82001,26.48684
2/15/2020,D,27.09484,44.86655
2/15/2020,I,41.35748,23.84617
